               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
136,0.017344,0.012541,0,0.9371,0.92574,0.96695,0.82901,0.017196,0.0032614,0,0.00109,0.00109,0.00109
137,0.017315,0.012631,0,0.92114,0.93904,0.96632,0.82576,0.017178,0.0032991,0,0.001024,0.001024,0.001024
138,0.017466,0.012693,0,0.9261,0.9402,0.96666,0.82888,0.016783,0.0033307,0,0.000958,0.000958,0.000958
139,0.017019,0.012719,0,0.94815,0.92145,0.96653,0.82872,0.017055,0.0032983,0,0.000892,0.000892,0.000892
140,0.017405,0.012587,0,0.93821,0.93083,0.96735,0.8278,0.017157,0.0033416,0,0.000826,0.000826,0.000826
141,0.017027,0.012339,0,0.94871,0.92145,0.96769,0.82728,0.017393,0.0033046,0,0.00076,0.00076,0.00076
142,0.01711,0.012563,0,0.93023,0.93777,0.96612,0.82651,0.017173,0.0033439,0,0.000694,0.000694,0.000694
143,0.017122,0.012728,0,0.94838,0.92614,0.96665,0.82448,0.017014,0.0033457,0,0.000628,0.000628,0.000628
144,0.016609,0.012468,0,0.95138,0.91752,0.96489,0.82783,0.016993,0.0033512,0,0.000562,0.000562,0.000562
145,0.016884,0.012344,0,0.9416,0.92145,0.96537,0.82531,0.016922,0.0033888,0,0.000496,0.000496,0.000496
146,0.017477,0.012337,0,0.94458,0.91917,0.96652,0.82762,0.017019,0.0033618,0,0.00043,0.00043,0.00043
147,0.017376,0.01222,0,0.95125,0.9151,0.96632,0.83065,0.017005,0.0033522,0,0.000364,0.000364,0.000364
148,0.016799,0.012422,0,0.95187,0.90856,0.9654,0.82893,0.017032,0.0033704,0,0.000298,0.000298,0.000298
149,0.016711,0.012483,0,0.93397,0.92855,0.96563,0.82736,0.017053,0.0033947,0,0.000232,0.000232,0.000232
